method,constraint,eps,base_model,model,accuracy,Fairness Index ,|SPD|,|EOD|,DI gap |DI-1|,|AOD|,|PPD|,Brier (overall)
baseline,,,gb,gb,0.8658698539176627,0.49308668422431373,0.1642633262544764,0.0570102207693024,0.6764529105130571,0.0568625779002621,0.0216695545387255,0.0947037793177162
threshold_optimizer,equalized_odds,,gb,gb_thresh_equalized_odds,0.848472775564409,0.30304138218686744,0.1138048621354025,0.018239500620055,0.4886914668167287,0.0143958250074718,0.2413960234527309,0.1384609423788295
threshold_optimizer,equalized_odds,,logreg,logreg_thresh_equalized_odds,0.8314741035856573,0.25111554589204066,0.1026789363464742,0.0032850636706002,0.45103167407258593,0.0071941935120331,0.2535767164431659,0.15484607698952
expgrad_dp,demographic_parity,0.05,rf,rf_dp_eps0.05,0.7873173970783532,0.16692513127927538,0.0674470586670669,0.0072184575909189,0.2249047993081591,0.0196045487988787,0.3490129509718552,0.1557031982359439
expgrad_dp,demographic_parity,0.01,rf,rf_dp_eps0.01,0.7853917662682602,0.1609783902722292,0.0544139556819255,0.024779353509066,0.18132624246453144,0.0337084666471248,0.3504559473133596,0.1561223032902683
threshold_optimizer,demographic_parity,,tree,tree_thresh_demographic_parity,0.7389110225763612,0.048303537394142164,0.0086018652211835,0.0278473550696284,0.025737493198340178,0.0662838269758524,0.3778806481200213,0.2066147046561682
